Timestamp,Gaze Direction,Attention State
20:08:30,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,LEFT,DISTRACTED
20:08:31,LEFT,DISTRACTED
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:31,LEFT,DISTRACTED
20:08:31,CENTER,ATTENTIVE
20:08:31,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,LEFT,DISTRACTED
20:08:32,LEFT,DISTRACTED
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:32,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,LEFT,DISTRACTED
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,LEFT,DISTRACTED
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,CENTER,ATTENTIVE
20:08:33,LEFT,DISTRACTED
20:08:33,LEFT,DISTRACTED
20:08:33,LEFT,DISTRACTED
20:08:33,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,LEFT,DISTRACTED
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,RIGHT,DISTRACTED
20:08:34,CENTER,ATTENTIVE
20:08:34,RIGHT,DISTRACTED
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:34,CENTER,ATTENTIVE
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:35,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,CENTER,ATTENTIVE
20:08:36,CENTER,ATTENTIVE
20:08:36,CENTER,ATTENTIVE
20:08:36,LEFT,DISTRACTED
20:08:36,CENTER,ATTENTIVE
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:36,LEFT,DISTRACTED
20:08:37,LEFT,DISTRACTED
20:08:37,LEFT,DISTRACTED
